Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aalborg,1.7051518966411772,1,49,24,4,4,5,5,5,1,0
Aalborg,1.6652004605627033,3,49,23,4,4,5,5,5,0,0
Aalborg,1.742595266719936,2,49,25,5,5,5,5,5,0,0
Aalborg,1.5041355666190883,3,49,23,5,3,5,5,5,0,0
Aalborg,1.409739516231986,3,49,24,5,4,5,5,5,0,0
Aalborg,1.3442625474865,3,49,23,4,4,5,5,5,0,0
Aalborg,1.7908973210989223,1,49,24,5,4,5,5,5,0,0
Aalborg,1.8007392736724972,2,49,22,4,3,5,5,5,0,0
Aalborg,1.664138028846681,3,49,24,4,5,5,5,5,0,0
Aalborg,1.6322635505940501,1,49,23,4,4,5,5,5,0,0
Aalborg,1.5171642936952647,2,49,23,5,3,5,5,5,0,0
Aalborg,1.9685648255273822,1,49,24,4,5,5,5,5,0,0
Aalborg,1.75581206543205,3,49,25,4,5,5,5,5,1,0
Aalborg,1.3190993353814664,2,49,23,4,4,5,5,5,0,0
Aalborg,1.6941826565985973,3,49,25,5,5,5,5,5,0,0
Aalborg,1.5650035856815088,3,49,24,4,5,5,5,5,0,0
Aalborg,1.6315730442458214,3,49,23,5,3,5,5,5,0,0
Aalborg,1.73115883644406,3,49,24,4,5,5,5,5,0,0
Aalborg,1.6423823291257698,3,49,23,4,4,5,5,5,0,0
Aalborg,1.7562306979932314,2,49,23,4,4,5,5,5,0,0
Aalborg,1.6507168683814835,3,49,25,5,5,5,5,5,0,0
Aalborg,1.67224620770683,1,49,23,4,4,5,5,5,0,0
Aalborg,1.2248910779334714,3,49,22,4,3,5,5,5,0,0
Aalborg,1.5464929783573091,3,49,24,4,5,5,5,5,0,0
Aalborg,1.5042290505680864,3,49,24,5,4,5,5,5,0,0
Aalborg,1.701772720544753,3,49,23,4,4,5,5,5,0,0
Aalborg,1.6836692116906806,3,49,24,4,5,5,5,5,0,0
Aalborg,1.8549686298765375,2,49,22,4,3,5,5,5,0,0
Aalborg,1.7805891604511515,3,49,24,4,5,5,5,5,0,0
Aalborg,1.4803945188451477,3,49,23,5,3,5,5,5,0,0
Aalborg,1.3331659203248583,3,49,25,5,5,5,5,5,0,0
Aalborg,1.9028947620206023,1,49,24,5,4,5,5,5,0,0
Aalborg,1.7143444174462412,3,49,21,4,2,5,5,5,0,0
Aalborg,1.7481583777935714,1,49,25,5,5,5,5,5,0,0
Aalborg,1.5845745857204216,2,49,24,4,5,5,5,5,0,0
Aalborg,1.6805162419530475,3,49,24,5,4,5,5,5,0,0
Aalborg,1.3516908657390614,3,49,23,4,4,5,5,5,0,0
Aalborg,1.7007548658027292,3,49,25,5,5,5,5,5,0,0
Aalborg,1.5412891760204512,3,49,24,4,5,5,5,5,0,0
Aalborg,1.496279252339721,1,49,24,5,4,5,5,5,0,0
Aalborg,1.8138867232533167,1,49,24,5,4,5,5,5,0,0
Aalborg,1.8084383419168604,3,49,23,4,4,5,5,5,0,0
Aalborg,1.5550149159920257,2,49,23,4,4,5,5,5,0,0
Aalborg,1.6191181755340915,3,49,24,5,4,5,5,5,0,0
Aalborg,1.3861531018612512,3,49,23,5,3,5,5,5,0,0
Aalborg,1.521333645834136,2,49,23,4,4,5,5,5,0,0
Aalborg,1.7593279730869276,3,49,25,5,5,5,5,5,0,0
Aalborg,1.7840535359589713,3,49,24,5,4,5,5,5,0,0
Aalborg,1.7877263908109071,3,49,23,4,4,5,5,5,0,0
Aalborg,1.712013748211786,3,49,24,5,4,5,5,5,0,0
Aalborg,1.3847315770683923,1,49,24,4,5,5,5,5,0,0
Aalborg,1.6667896907554622,3,49,24,5,4,5,5,5,0,0
Aalborg,1.5908676804398008,3,49,24,4,5,5,5,5,0,0
Aalborg,1.4958645346146064,3,49,23,5,3,5,5,5,0,0
Aalborg,1.5872320924719299,3,49,23,4,4,5,5,5,0,0
Aalborg,1.8483094059978837,1,49,25,5,5,5,5,5,0,0
Aalborg,1.3721043966247608,1,49,25,5,5,5,5,5,0,0
